data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9506746,170,COL17691,17691,29 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Cauca,Suarez,,La Betulia,2.9811,-76.7331,1,UNOCHA,Other,"Around 29 September 2022 (as reported), in La Betulia (Cauca), a man was shot and killed and his body was found. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506755,170,COL17692,17692,29 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Meta,Granada,,Granada,3.5467,-73.7057,2,UNOCHA,Other,"Around 29 September 2022 (as reported), in Granada municipality (Meta), a man was shot and killed by unknown perpetrators. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506756,170,COL17690,17690,29 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Cauca,Caloto,,Caloto,3.0341,-76.4085,2,UNOCHA,Other,"Around 29 September 2022 (as reported), in Caloto municipality (Cauca), a man was shot dead and his body was found in El Palo sector. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506760,170,COL17689,17689,29 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),Farmers (Colombia),7,37,South America,Colombia,Cauca,Caldono,,Siberia,2.7856,-76.5186,1,UNOCHA,Other,"Around 29 September 2022 (as reported), in Siberia (Cauca), two farmers were shot and killed and their bodies were found. The motive of the attack is unknown but the area is known for the presence of armed groups. 2 fatalities.",2,1664823226,COL
9506761,170,COL17693,17693,29 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Meta,Puerto Gaitan,,Puerto Gaitan,4.3145,-72.0831,1,UNOCHA,Other,"Around 29 September 2022 (as reported), in Puerto Gaitan (Meta), a man was shot and killed by two unidentified armed individuals on a motorcycle in a drive-by shooting in the Bello Horizonte sector. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506350,170,COL17688,17688,28 September 2022,2022,1,Violence against civilians,Attack,FARC Dissident - Carolina Ramirez Front: Revolutionary Armed Forces of Colombia Dissident Faction (Carolina Ramirez Front),,2,Civilians (Colombia),,7,27,South America,Colombia,Putumayo,Puerto Caicedo,,Arizona,0.7427,-76.3711,1,Comision Intereclesial de Justicia y Paz; INDEPAZ,Other-National,"On 28 September 2022, in Arizona (Putumayo), members of the Carolina Ramirez FARC Dissident group shot and killed two men after accusing them of being collaborators of the Frontier Command, which is not confirmed. 2 fatalities.",2,1664823225,COL
9506751,170,COL17687,17687,28 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Cauca,El Tambo,,Los Anayes,2.5255,-76.7991,2,UNOCHA,Other,"Around 28 September 2022 (as reported), in the rural area of Los Anayes corregimiento (Cauca), a man was shot and killed and his body was found in the Palmichal vereda. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506754,170,COL17686,17686,28 September 2022,2022,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),Farmers (Colombia),7,37,South America,Colombia,Cauca,Argelia,,Argelia,2.2568,-77.2495,2,UNOCHA,Other,"Around 28 September 2022 (as reported), in the rural area of Argelia municipality (Cauca), a farmer was shot and killed and his body was found in the Estrecho Tambo Largo vereda. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506418,170,COL17685,17685,26 September 2022,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Putumayo,Orito,,Orito,0.6638,-76.873,2,Comision Intereclesial de Justicia y Paz,National,"On 26 September 2022, in the rural area of Orito municipality (Putumayo), unidentified armed individuals shot and killed a man in the Churuyaco vereda. The motive of the attack is unknown but there is presence of several armed groups in the area, according to the source. 1 fatality.",1,1664823225,COL
9506752,170,COL17684,17684,26 September 2022,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),Farmers (Colombia),7,37,South America,Colombia,Cauca,El Tambo,,Uribe,2.5529,-76.8539,2,UNOCHA,Other,"On 26 September 2022, in the rural area of Uribe corregimiento (Cauca), a farmer was shot dead by unidentified armed individuals in the Sabanetas vereda. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506765,170,COL17653,17653,26 September 2022,2022,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),Women (Colombia); Government of Colombia (2022-),7,37,South America,Colombia,Norte de Santander,Tibu,,La Gabarra,8.9983,-72.8997,2,UNOCHA,Other,"On 26 September 2022, around La Gabarra corregimiento (Norte de Santander), unidentified armed individuals intercepted a delegation of the Territorial Renewal Agency (ART) and abducted the director of the agency, who is a woman. The kidnappers also took the weapons of the bodyguards. The whereabouts of the woman are unknown. [women targeted: government officials]",0,1664823226,COL
9506758,170,COL17683,17683,25 September 2022,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Cauca,Miranda,,Miranda,3.2531,-76.2289,1,UNOCHA,Other,"On 25 September 2022, in Miranda (Cauca), two unidentified armed individuals on a motorcycle (drive-by shooting) shot and killed a man in the San Antonio neighborhood. The motives of the attack are unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
9506748,170,COL17681,17681,24 September 2022,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Valle del Cauca,Alcala,,Alcala,4.675,-75.7798,1,UNOCHA,Other,"On 24 September 2022, in Alcala (Valle del Cauca), unidentified armed individuals shot and killed two people in El Progreso neighborhood. The motive of the attack is unknown but the area is known for the presence of armed groups. 2 fatalities.",2,1664823226,COL
9506764,170,COL17682,17682,24 September 2022,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,3,Civilians (Colombia),,7,37,South America,Colombia,Valle del Cauca,Alcala,,Alcala,4.675,-75.7798,1,UNOCHA,Other,"On 24 September 2022, in Alcala (Valle del Cauca), unidentified armed individuals shot and killed a man in Las Delicias neighborhood. The motive of the attack is unknown but the area is known for the presence of armed groups. 1 fatality.",1,1664823226,COL
