poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
81224,235,InsiderAdvantage,1457,Center for American Greatness,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,New Hampshire,10/23/22,10/23/22,,"",,163945,600,lv,,lv,,10/24/22 17:49,"",https://amgreatness.com/2022/10/24/republican-don-bolduc-in-dead-heat-with-democrat-maggie-hassan-in-new-hampshire-u-s-senate-race/,"",false,,8973,2022,Governor,0,,11/8/22,general,false,false,DEM,Sherman,29590,Tom Sherman,37.0
81224,235,InsiderAdvantage,1457,Center for American Greatness,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,,New Hampshire,10/23/22,10/23/22,,"",,163945,600,lv,,lv,,10/24/22 17:49,"",https://amgreatness.com/2022/10/24/republican-don-bolduc-in-dead-heat-with-democrat-maggie-hassan-in-new-hampshire-u-s-senate-race/,"",false,,8973,2022,Governor,0,,11/8/22,general,false,false,REP,Sununu,28913,Chris Sununu,53.9
81218,396,Quinnipiac,"","",Quinnipiac University,267,Quinnipiac University,A-,Live Phone,Connecticut,10/19/22,10/23/22,,"",,163929,1879,lv,,lv,,10/24/22 13:44,"",https://poll.qu.edu/poll-release?releaseid=3860,"",false,,8958,2022,Governor,0,,11/8/22,general,false,false,DEM,Lamont,28689,Edward Lamont,56.0
81218,396,Quinnipiac,"","",Quinnipiac University,267,Quinnipiac University,A-,Live Phone,Connecticut,10/19/22,10/23/22,,"",,163929,1879,lv,,lv,,10/24/22 13:44,"",https://poll.qu.edu/poll-release?releaseid=3860,"",false,,8958,2022,Governor,0,,11/8/22,general,false,false,REP,Stefanowski,28690,Robert Stefanowski,41.0
81221,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/19/22,10/23/22,,"",,163928,1459,lv,,lv,TRUE,10/24/22 13:44,"",https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-24-22/,"",false,,8969,2022,Governor,0,,11/8/22,general,false,false,DEM,Whitmer,18853,Gretchen Whitmer,49.8
81221,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/19/22,10/23/22,,"",,163928,1459,lv,,lv,TRUE,10/24/22 13:44,"",https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-24-22/,"",false,,8969,2022,Governor,0,,11/8/22,general,false,false,REP,Dixon,28659,Tudor M. Dixon,44.2
81204,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Ohio,10/18/22,10/22/22,,"",,163877,1547,lv,,lv,TRUE,10/23/22 11:06,"",https://www.cygn.al/cygnal-momentum-tracking-poll-ohio-statewide-10-23-22/,"",false,,8976,2022,Governor,0,,11/8/22,general,false,false,DEM,Whaley,28603,Nan Whaley,37.0
81204,1347,Cygnal Political,"","",Cygnal,67,Cygnal,B+,IVR/Online/Text,Ohio,10/18/22,10/22/22,,"",,163877,1547,lv,,lv,TRUE,10/23/22 11:06,"",https://www.cygn.al/cygnal-momentum-tracking-poll-ohio-statewide-10-23-22/,"",false,,8976,2022,Governor,0,,11/8/22,general,false,false,REP,DeWine,28604,Mike DeWine,54.6
81188,1497,co/efficient,"","",co/efficient,514,co/efficient,B/C,IVR/Text,Arizona,10/20/22,10/21/22,,"",,163831,1111,lv,,lv,,10/21/22 16:48,"",https://coefficient.org/arizonastatewide/,"",false,,8954,2022,Governor,0,,11/8/22,general,false,false,DEM,Hobbs,28718,Katie Hobbs,45.3
81188,1497,co/efficient,"","",co/efficient,514,co/efficient,B/C,IVR/Text,Arizona,10/20/22,10/21/22,,"",,163831,1111,lv,,lv,,10/21/22 16:48,"",https://coefficient.org/arizonastatewide/,"",false,,8954,2022,Governor,0,,11/8/22,general,false,false,REP,Lake,28719,Kari Lake,48.6
